time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
448178792192.0,,,nan,,,
448178792448,10,0.0,2.0,0.0,70,0
448178792704,10,0.0,,0.0,70,0
448178792960,10,0.0,,0.0,70,0
448178793216,10,0.0,,0.03125,70,0
448178793472,10,0.0,,0.3515625,70,0
448178793728,10,0.0,,0.28515625,70,0
448178793984,10,0.0,,0.4921875,70,0
448178794240,10,0.0,,0.4765625,70,0
448178794496,10,0.0,,0.25390625,70,0
448178794752,10,0.0,,0.1484375,70,0
448178795008,10,0.0,,0.34375,87,0
448178795264,10,0.0,5.0,0.38671875,86,0
448178795520,10,0.0,,0.15234375,86,0
448178795776,10,0.0,,0.15625,85,0
448178796032,10,0.0,,0.04296875,84,0
448178796288,10,0.0,,0.12109375,85,0
448178796544,10,0.0,,0.0390625,80,0
448178796800,10,0.0,,0.01953125,80,0
448178797056,10,0.0,,0.0,80,0
448178797312,10,0.0,,0.0,80,0
448178797568,10,0.0,,0.015625,79,0
448178797824,10,0.0,,0.01953125,79,0
448178798080,10,0.0,,0.1015625,79,0
448178798336,10,0.0,,0.01953125,79,0
448178798592,10,0.0,,0.0,79,0
448178798848,10,0.0,,0.0,78,0
448178799104,10,0.0,,0.0,78,0
448178799360,10,0.0,,0.0,76,0
448178799616,10,0.0,,0.0,75,0
448178799872,10,0.0,,0.015625,74,0
448178800128,10,0.0,,0.0,74,0
448178800384,10,0.0,,0.0,73,0
448178800640,10,0.0,,0.015625,73,0
448178800896,10,0.0,,0.0,73,0
448178801152,10,0.0,,0.015625,73,0
448178801408,10,0.0,,0.015625,72,0
448178801664,10,0.0,,0.046875,72,0
448178801920,10,0.0,,0.046875,72,0
448178802176,10,0.0,,0.0,73,0
448178802432,10,0.0,,0.015625,73,0
448178802688,10,0.0,,0.015625,73,0
448178802944,10,0.0,,0.0,74,0
448178803200,10,0.0,,0.0,74,0
448178803456,10,0.0,,0.0,74,0
448178803712,10,0.0,,0.0,74,0
448178803968,10,0.0,,0.0,74,0
448178804224,10,0.0,,0.0,74,0
448178804480,10,0.0,,0.0,74,0
448178804736,10,0.0,,0.0,74,0
448178804992,10,0.0,,0.015625,74,0
448178805248,10,0.0,,0.015625,74,0
448178805504,10,0.0,,0.12109375,74,0
448178805760,10,0.0,,0.26171875,75,0
448178806016,10,0.0,,0.36328125,75,0
448178806272,10,0.0,,0.06640625,76,0
448178806528,10,0.0,,0.02734375,76,0
448178806784,10,0.0,,0.015625,78,0
448178807040,10,0.0,,0.015625,79,0
448178807296,10,0.0,,0.015625,80,0
448178807552,10,0.0,,0.015625,81,0
448178807808,10,0.0,,0.0,82,0
448178808064,10,0.0,,0.0,83,0
448178808320,10,0.0,,0.0,83,0
448178808576,10,0.0,,0.0,84,0
448178808832,10,0.0,,0.0,84,0
448178809088,10,0.0,,0.0,84,0
448178809344,10,0.0,,0.015625,84,0
448178809600,10,0.0,,0.015625,83,0
448178809856,10,0.0,,0.015625,83,0
448178810112,10,0.0,,0.015625,81,0
448178810368,10,0.0,,0.015625,81,0
448178810624,10,0.0,,0.03515625,80,0
448178810880,10,0.0,,0.0703125,80,0
448178811136,10,0.0,,0.0546875,79,0
448178811392,10,0.0,,0.09765625,79,0
448178811648,10,0.0,,0.08203125,78,0
448178811904,10,0.0,,0.0546875,78,0
448178812160,10,0.0,,0.0625,78,0
448178812416,10,0.0,,0.0234375,78,0
448178812672,10,0.0,,0.0234375,78,0
448178812928,10,0.0,,0.0,78,0
448178813184,10,0.0,,0.015625,78,0
448178813440,10,0.0,,0.0,77,0
448178813696,10,0.0,,0.015625,77,0
448178813952,10,0.0,,0.0,77,0
448178814208,10,0.0,,0.0,77,0
448178814464,10,0.0,,0.0,77,0
448178814720,10,0.0,,0.0,77,0
448178814976,10,0.0,,0.0,76,0
448178815232,10,0.0,,0.0,76,0
448178815488,10,0.0,,0.0,75,0
448178815744,10,0.0,,0.0,74,0
448178816000,10,0.0,,0.0,74,0
448178816256,10,0.0,,0.0,74,0
448178816512,10,0.0,,0.0,75,0
448178816768,10,0.0,,0.0,75,0
448178817024,10,0.0,,0.0,74,0
448178817280,10,0.0,,0.0,74,0
448178817536,10,0.0,,0.0,74,0
448178817792,10,0.0,,0.0,74,0
448178818048,10,0.0,,0.0,73,0
448178818304,10,0.0,,0.0,73,0
448178818560,10,0.0,,0.0,73,0
448178818816,10,0.0,,0.0,73,0
448178819072,10,0.0,,0.0,73,0
448178819328,10,0.0,,0.015625,73,0
448178819584,10,0.0,,0.0,73,0
448178819840,10,0.0,,0.0,73,0
448178820096,10,0.0,,0.0,72,0
448178820352,10,0.0,,0.0,72,0
448178820608,10,0.0,,0.0,72,0
448178820864,10,0.0,,0.0,71,0
448178821120,10,0.0,,0.0,71,0
448178821376,10,0.0,,0.0,71,0
448178821632,10,0.0,,0.0,72,0
448178821888,10,0.0,,0.0,72,0
448178822144,10,0.0,,0.0,72,0
448178822400,10,0.0,,0.0,73,0
448178822656,10,0.0,,0.0,73,0
448178822912,10,0.0,,0.0,72,0
448178823168,8,0.0,,0.0,72,0
448178823424,4,0.0,,0.0,72,0
448178823680,1,0.0,,0.0,73,0
448178823936,2,0.0,,0.015625,73,0
448178824192,2,0.0,,0.015625,73,0
448178824448,1,0.0,,0.0234375,74,0
448178824704,1,0.0,,0.0234375,74,0
448178824960,1,0.0,,0.01953125,74,0
448178825216,1,0.0,,0.015625,74,0
448178825472,1,0.0,,0.015625,73,0
448178825728,1,0.0,,0.01953125,72,0
448178825984,1,0.0,,0.015625,72,0
448178826240,1,0.0,,0.0,72,0
448178826496,1,0.0,,0.0,72,0
448178826752,1,0.0,,0.0,72,0
448178827008,1,0.0,,0.015625,73,0
448178827264,1,0.0,,0.015625,73,0
